Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T14:45:00.000000+0000,31.64,91.75,7.53,1.3,5.61,,11.85,0.91,3.99,1.97,,,,,,,,1.63,209.84,,0.0,,886.03,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T15:00:00.000000+0000,18.59,53.9,7.96,1.3,5.59,,6.96,0.53,2.34,1.16,,,,,,,,0.96,209.01,,0.0,,882.52,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T15:15:00.000000+0000,18.59,53.9,7.77,1.32,5.66,,6.96,0.53,2.34,1.16,,,,,,,,0.96,211.92,,0.0,,894.82,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T15:30:00.000000+0000,18.59,53.9,7.98,1.31,5.6,,6.96,0.53,2.34,1.16,,,,,,,,0.96,209.69,,0.0,,885.39,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T15:45:00.000000+0000,20.29,58.83,7.76,1.28,5.51,,7.6,0.58,2.56,1.27,,,,,,,,1.05,206.33,,0.0,,871.18,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T16:00:00.000000+0000,33.55,97.3,7.63,1.27,5.49,,12.57,0.96,4.23,2.09,,,,,,,,1.73,205.55,,0.0,,867.9,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T16:15:00.000000+0000,33.55,97.3,8.38,1.29,5.5,,12.57,0.96,4.23,2.09,,,,,,,,1.73,205.88,,0.0,,869.3,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T16:30:00.000000+0000,33.55,97.3,8.05,1.28,5.49,,12.57,0.96,4.23,2.09,,,,,,,,1.73,205.45,,0.0,,867.48,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T16:45:00.000000+0000,33.52,97.22,8.29,1.29,5.49,,12.56,0.96,4.23,2.09,,,,,,,,1.73,205.41,,0.0,,867.3,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T17:00:00.000000+0000,33.31,96.6,7.88,1.28,5.5,,12.48,0.95,4.2,2.08,,,,,,,,1.72,205.89,,0.0,,869.35,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T17:15:00.000000+0000,33.31,96.6,8.17,1.28,5.46,,12.48,0.95,4.2,2.08,,,,,,,,1.72,204.39,,0.0,,862.99,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T17:30:00.000000+0000,33.31,96.6,7.25,1.27,5.54,,12.48,0.95,4.2,2.08,,,,,,,,1.72,207.41,,0.0,,875.76,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T17:45:00.000000+0000,38.55,111.79,7.48,1.3,5.63,,14.44,1.1,4.86,2.41,,,,,,,,1.99,210.81,,0.0,,890.12,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T18:00:00.000000+0000,79.41,230.3,7.51,1.28,5.56,,29.74,2.27,10.01,4.96,,,,,,,,4.09,207.93,,0.0,,877.97,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T18:15:00.000000+0000,79.41,230.3,7.83,1.3,5.57,,29.74,2.27,10.01,4.96,,,,,,,,4.09,208.49,,0.0,,880.32,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T18:30:00.000000+0000,79.41,230.3,7.94,1.29,5.55,,29.74,2.27,10.01,4.96,,,,,,,,4.09,207.58,,0.0,,876.48,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T18:45:00.000000+0000,76.95,223.14,7.4,1.28,5.55,,28.82,2.2,9.7,4.8,,,,,,,,3.96,207.85,,0.0,,877.61,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T19:00:00.000000+0000,57.69,167.3,7.3,1.28,5.56,,21.61,1.65,7.27,3.6,,,,,,,,2.97,207.97,,0.0,,878.13,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T19:15:00.000000+0000,57.69,167.3,7.96,1.29,5.54,,21.61,1.65,7.27,3.6,,,,,,,,2.97,207.39,,0.0,,875.67,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T19:30:00.000000+0000,57.69,167.3,8.3,1.29,5.5,,21.61,1.65,7.27,3.6,,,,,,,,2.97,205.83,,0.0,,869.08,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T19:45:00.000000+0000,59.17,171.6,8.31,1.29,5.49,,22.16,1.69,7.46,3.69,,,,,,,,3.05,205.39,,0.0,,867.23,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T20:00:00.000000+0000,70.72,205.1,7.68,1.28,5.54,,26.49,2.02,8.92,4.41,,,,,,,,3.64,207.32,,0.0,,875.39,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T20:15:00.000000+0000,70.72,205.1,7.24,1.28,5.56,,26.49,2.02,8.92,4.41,,,,,,,,3.64,207.99,,0.0,,878.21,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T20:30:00.000000+0000,70.72,205.1,7.66,1.27,5.5,,26.49,2.02,8.92,4.41,,,,,,,,3.64,205.81,,0.0,,868.98,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T20:45:00.000000+0000,69.35,201.12,7.92,1.29,5.54,,25.97,1.99,8.74,4.33,,,,,,,,3.57,207.25,,0.0,,875.08,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T21:00:00.000000+0000,58.66,170.1,7.8,1.3,5.59,,21.97,1.68,7.4,3.66,,,,,,,,3.02,209.18,,0.0,,883.23,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T21:15:00.000000+0000,58.66,170.1,7.79,1.29,5.54,,21.97,1.68,7.4,3.66,,,,,,,,3.02,207.16,,0.0,,874.69,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T21:30:00.000000+0000,58.66,170.1,7.88,1.3,5.58,,21.97,1.68,7.4,3.66,,,,,,,,3.02,208.88,,0.0,,881.95,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T21:45:00.000000+0000,58.52,169.7,7.73,1.3,5.61,,21.92,1.67,7.38,3.65,,,,,,,,3.01,210.06,,0.0,,886.94,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T22:00:00.000000+0000,57.45,166.6,7.46,1.28,5.54,,21.52,1.64,7.24,3.59,,,,,,,,2.96,207.47,,0.0,,875.99,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T22:15:00.000000+0000,57.45,166.6,7.57,1.3,5.6,,21.52,1.64,7.24,3.59,,,,,,,,2.96,209.39,,0.0,,884.1,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T22:30:00.000000+0000,57.45,166.6,8.2,1.32,5.64,,21.52,1.64,7.24,3.59,,,,,,,,2.96,210.99,,0.0,,890.86,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T22:45:00.000000+0000,56.65,164.29,7.86,1.31,5.61,,21.22,1.62,7.14,3.54,,,,,,,,2.92,209.95,,0.0,,886.49,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T23:00:00.000000+0000,50.45,146.3,7.61,1.28,5.55,,18.89,1.44,6.36,3.15,,,,,,,,2.6,207.71,,0.0,,877.02,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T23:15:00.000000+0000,50.45,146.3,8.03,1.28,5.48,,18.89,1.44,6.36,3.15,,,,,,,,2.6,204.9,,0.0,,865.16,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T23:30:00.000000+0000,50.45,146.3,8.23,1.29,5.52,,18.89,1.44,6.36,3.15,,,,,,,,2.6,206.46,,0.0,,871.76,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T23:45:00.000000+0000,48.62,141.01,7.85,1.29,5.54,,18.21,1.39,6.13,3.04,,,,,,,,2.51,207.47,,0.0,,876.01,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T00:00:00.000000+0000,33.55,97.3,7.72,1.28,5.51,,12.57,0.96,4.23,2.09,,,,,,,,1.73,206.06,,0.0,,870.07,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T00:15:00.000000+0000,33.55,97.3,8.09,1.3,5.55,,12.57,0.96,4.23,2.09,,,,,,,,1.73,207.53,,0.0,,876.26,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T00:30:00.000000+0000,33.55,97.3,7.1,1.29,5.61,,12.57,0.96,4.23,2.09,,,,,,,,1.73,210.05,,0.0,,886.92,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T00:45:00.000000+0000,31.92,92.55,6.97,1.28,5.61,,11.95,0.91,4.02,1.99,,,,,,,,1.64,209.83,,0.0,,885.96,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T01:00:00.000000+0000,19.07,55.3,7.15,1.28,5.57,,7.14,0.55,2.4,1.19,,,,,,,,0.98,208.4,,0.0,,879.95,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T01:15:00.000000+0000,19.07,55.3,7.48,1.29,5.57,,7.14,0.55,2.4,1.19,,,,,,,,0.98,208.45,,0.0,,880.17,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T01:30:00.000000+0000,19.07,55.3,7.65,1.28,5.54,,7.14,0.55,2.4,1.19,,,,,,,,0.98,207.49,,0.0,,876.1,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T01:45:00.000000+0000,18.74,54.35,7.81,1.28,5.51,,7.02,0.54,2.36,1.17,,,,,,,,0.97,206.24,,0.0,,870.81,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-02T02:00:00.000000+0000,16.17,46.9,7.65,1.29,5.56,,6.06,0.46,2.04,1.01,,,,,,,,0.83,207.92,,0.0,,877.92,
