persona,season,locality,rank_mean,rank_std,rank_median,p_rank1,p_top3,p_top5,p_top10,rank_95_lo,rank_95_hi
remote_worker,Winter,Katraj,4.5,0.6,5.0,0.0,0.033,0.994,1.0,3.0,5.0
remote_worker,Winter,Pimpri Chinchwad,4.63,0.81,4.0,0.0,0.013,0.82,1.0,4.0,6.0
remote_worker,Winter,Wadgaon Sheri,5.79,0.44,6.0,0.0,0.001,0.197,1.0,5.0,6.0
remote_worker,Winter,Kondhwa,7.02,0.21,7.0,0.0,0.0,0.0,1.0,7.0,7.0
remote_worker,Winter,Mahalunge,8.3,0.64,8.0,0.0,0.0,0.0,0.988,8.0,10.0
remote_worker,Winter,Kalyani Nagar,9.78,1.71,9.0,0.0,0.0,0.0,0.736,8.0,14.0
remote_worker,Winter,Undri,10.31,1.75,10.0,0.0,0.0,0.0,0.725,9.0,16.0
remote_worker,Winter,Viman Nagar,11.15,0.93,11.0,0.0,0.0,0.0,0.209,10.0,14.0
remote_worker,Winter,Wagholi,12.69,1.44,13.0,0.0,0.0,0.0,0.106,9.0,14.0
remote_worker,Winter,NIBM Road,12.9,2.21,12.0,0.0,0.0,0.0,0.119,10.0,18.0
remote_worker,Winter,Moshi,14.38,1.78,14.0,0.0,0.0,0.0,0.001,12.0,18.0
remote_worker,Winter,Hinjewadi,14.39,2.27,15.0,0.0,0.0,0.0,0.107,9.0,16.0
remote_worker,Winter,Hadapsar,15.38,0.86,15.0,0.0,0.0,0.0,0.0,14.0,17.0
remote_worker,Winter,Wakad,16.93,2.08,17.0,0.0,0.0,0.0,0.006,12.0,23.0
remote_worker,Winter,Balewadi,17.8,2.34,18.0,0.0,0.0,0.0,0.003,12.0,24.0
remote_worker,Winter,Lohegaon,19.6,1.42,20.0,0.0,0.0,0.0,0.0,17.0,22.0
remote_worker,Winter,Magarpatta,20.5,1.93,20.0,0.0,0.0,0.0,0.0,19.0,24.0
remote_worker,Winter,Keshav Nagar,20.87,0.97,21.0,0.0,0.0,0.0,0.0,18.0,22.0
remote_worker,Winter,Kharadi,21.48,1.64,22.0,0.0,0.0,0.0,0.0,18.0,24.0
remote_worker,Winter,Dhanori,22.16,1.19,23.0,0.0,0.0,0.0,0.0,19.0,23.0
remote_worker,Winter,Manjri,23.42,1.13,24.0,0.0,0.0,0.0,0.0,20.0,24.0
remote_worker,Winter,Bavdhan,25.45,0.68,25.0,0.0,0.0,0.0,0.0,24.975000000000023,26.0
remote_worker,Winter,EON Free Zone,25.65,0.7,26.0,0.0,0.0,0.0,0.0,25.0,27.0
remote_worker,Winter,Punawale,26.85,0.37,27.0,0.0,0.0,0.0,0.0,26.0,27.0
